% Moku:Pro Data Logger
% Input 1, DC coupling, 1 MOhm impedance, 4 Vpp range
% Input 2, DC coupling, 1 MOhm impedance, 4 Vpp range
% Input 3, DC coupling, 1 MOhm impedance, 4 Vpp range
% Input 4, DC coupling, 1 MOhm impedance, 40 Vpp range
% Acquisition rate: 5.0000000000e+01 Hz, Precision mode
% Output 1 (on) - Sine, 1.000 000 Hz, 6.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, output termination 50 Ohm
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 3.9 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %, output termination 50 Ohm
% Output 3 (off) - Square, 80.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %, output termination 50 Ohm
% Output 4 (on) - Sine, 1.000 000 Hz, 6.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2024-07-24 T 17:03:36 +0200
% Ch1,2,3=LVDT1,2,3. Ch4=Vin. Only LVDT1 is a actuator. Sine wave with 50% duty cycle, 6Vpp,T=1Hz
% Time (s), Input 1 (V), Input 2 (V), Input 3 (V), Input 4 (V)
Time,LVDT1,LVDT2,LVDT3,Vin
2.4600000000e+00, 9.1365534938e-01, -8.6994943706e-04, 1.0101929581e+00, -5.9460991982e+00
2.4800000000e+00, 9.1354389163e-01, -7.1000033091e-04, 1.0104520612e+00, -5.9957479052e+00
2.5000000000e+00, 9.1377476839e-01, -5.3629994414e-04, 1.0105968115e+00, -5.9507229486e+00
2.5200000000e+00, 9.1361554304e-01, -2.6561684143e-04, 1.0106916229e+00, -5.8119885229e+00
2.5400000000e+00, 9.1329274982e-01, 4.4872599915e-05, 1.0106836617e+00, -5.5822253805e+00
2.5600000000e+00, 9.1348020149e-01, 3.8793086378e-04, 1.0105693089e+00, -5.2641288832e+00
2.5800000000e+00, 9.1324932472e-01, 8.4244687582e-04, 1.0104419286e+00, -4.8623593039e+00
2.6000000000e+00, 9.1372265828e-01, 1.3136091749e-03, 1.0103927135e+00, -4.3855286516e+00
2.6200000000e+00, 9.1422277064e-01, 1.7970752514e-03, 1.0100460365e+00, -3.8383556353e+00
2.6400000000e+00, 9.1422638940e-01, 2.3977890890e-03, 1.0098679936e+00, -3.2311030816e+00
2.6600000000e+00, 9.1460129273e-01, 2.9449453073e-03, 1.0094402564e+00, -2.5735444157e+00
2.6800000000e+00, 9.1487342334e-01, 3.5217753417e-03, 1.0090212042e+00, -1.8744377367e+00
2.7000000000e+00, 9.1528885676e-01, 4.1239366825e-03, 1.0087237423e+00, -1.1471648940e+00
2.7200000000e+00, 9.1577304659e-01, 4.7043854750e-03, 1.0083278502e+00, -4.0158696675e-01
2.7400000000e+00, 9.1625072266e-01, 5.2435804255e-03, 1.0078552404e+00, 3.5034587810e-01
2.7600000000e+00, 9.1664589104e-01, 5.7936316503e-03, 1.0074376357e+00, 1.0972313114e+00
2.7800000000e+00, 9.1706639072e-01, 6.3161803138e-03, 1.0070569423e+00, 1.8263594978e+00
2.8000000000e+00, 9.1744853157e-01, 6.7750388355e-03, 1.0064721510e+00, 2.5262112362e+00
2.8200000000e+00, 9.1792620764e-01, 7.2071185476e-03, 1.0061189603e+00, 3.1869911879e+00
2.8400000000e+00, 9.1831558600e-01, 7.6138669533e-03, 1.0057498469e+00, 3.7965300510e+00
2.8600000000e+00, 9.1857975534e-01, 7.9569252172e-03, 1.0053800099e+00, 4.3461792939e+00
2.8800000000e+00, 9.1898578000e-01, 8.2348458360e-03, 1.0050130678e+00, 4.8283349289e+00
2.9000000000e+00, 9.1908855273e-01, 8.4411150453e-03, 1.0047025784e+00, 5.2324054266e+00
2.9200000000e+00, 9.1919928672e-01, 8.5569153031e-03, 1.0044608453e+00, 5.5553155914e+00
2.9400000000e+00, 9.1950688116e-01, 8.6256717062e-03, 1.0042010185e+00, 5.7896221346e+00
2.9600000000e+00, 9.1979927681e-01, 8.6119204256e-03, 1.0040070531e+00, 5.9332286639e+00
2.9800000000e+00, 9.1886274222e-01, 8.4816451355e-03, 1.0037971651e+00, 5.9822053566e+00
3.0000000000e+00, 9.1932739076e-01, 8.3202485262e-03, 1.0038196014e+00, 5.9373557081e+00
3.0200000000e+00, 9.1957636131e-01, 8.0488416718e-03, 1.0036929449e+00, 5.7990303345e+00
3.0400000000e+00, 9.1916888915e-01, 7.7050596564e-03, 1.0037189999e+00, 5.5687558770e+00
3.0600000000e+00, 9.1914211034e-01, 7.3127862829e-03, 1.0037341987e+00, 5.2509150373e+00
3.0800000000e+00, 9.1893222238e-01, 6.8242539451e-03, 1.0037313037e+00, 4.8501461749e+00
3.1000000000e+00, 9.1851244644e-01, 6.3581579073e-03, 1.0039781030e+00, 4.3717596634e+00
3.1200000000e+00, 9.1820340450e-01, 5.7965266568e-03, 1.0041358808e+00, 3.8252951839e+00
3.1400000000e+00, 9.1886636098e-01, 5.2341716546e-03, 1.0043059625e+00, 3.2185685544e+00
3.1600000000e+00, 9.1809628927e-01, 4.6385240783e-03, 1.0047047496e+00, 2.5600164761e+00
3.1800000000e+00, 9.1753103926e-01, 3.9820813666e-03, 1.0047858098e+00, 1.8619178185e+00
3.2000000000e+00, 9.1765335328e-01, 3.3690637517e-03, 1.0051672269e+00, 1.1335858229e+00
3.2200000000e+00, 9.1709172203e-01, 2.7010410142e-03, 1.0054929151e+00, 3.8735049038e-01
3.2400000000e+00, 9.1683768521e-01, 2.0728246154e-03, 1.0058511722e+00, -3.6452391846e-01
3.2600000000e+00, 9.1660970346e-01, 1.4351994457e-03, 1.0062774619e+00, -1.1107081194e+00
3.2800000000e+00, 9.1612478988e-01, 8.1566806620e-04, 1.0065720288e+00, -1.8390108970e+00
3.3000000000e+00, 9.1577449410e-01, 2.1061171896e-04, 1.0068209993e+00, -2.5397099578e+00
3.3200000000e+00, 9.1552914230e-01, -3.4016325742e-04, 1.0071589913e+00, -3.1997448502e+00
3.3400000000e+00, 9.1534313814e-01, -8.2724809198e-04, 1.0075338947e+00, -3.8098607690e+00
3.3600000000e+00, 9.1556822489e-01, -1.3099904169e-03, 1.0077705614e+00, -4.3600359361e+00
3.3800000000e+00, 9.1499863237e-01, -1.6392974001e-03, 1.0080318358e+00, -4.8406284074e+00
3.4000000000e+00, 9.1478802065e-01, -1.9584718608e-03, 1.0083814078e+00, -5.2460137158e+00
3.4200000000e+00, 9.1459912148e-01, -2.2067186636e-03, 1.0084349654e+00, -5.5687485725e+00
3.4400000000e+00, 9.1444351488e-01, -2.3319276924e-03, 1.0086658422e+00, -5.8029893752e+00
3.4600000000e+00, 9.1399768389e-01, -2.4310816631e-03, 1.0087440074e+00, -5.9463548558e+00
3.4800000000e+00, 9.1446450368e-01, -2.4339766696e-03, 1.0087744049e+00, -5.9958209502e+00
3.5000000000e+00, 9.1495303602e-01, -2.3572589988e-03, 1.0088836914e+00, -5.9509932152e+00
3.5200000000e+00, 9.1437548223e-01, -2.2146799313e-03, 1.0088663214e+00, -5.8127628002e+00
3.5400000000e+00, 9.1424086443e-01, -2.0199907478e-03, 1.0087483499e+00, -5.5827147822e+00
3.5600000000e+00, 9.1455135387e-01, -1.7290425999e-03, 1.0087259136e+00, -5.2643845408e+00
